Name,Date,Review,Helpful_to,Title,Rating
AVIRAL JAIN, 17 May 2020,from last one week it started over heating. and from two day before it get switched off and after that it didn't get started.Service centers are not hearing our problems. and also its service center are fare away from us.Service center is remains closed till now.Even the cpmpany person are not replying the same. As phone is in manufacturing warrenty.. might be amazon is not supplying good products...,3,Phone is not good.,1.0
Sundeep, 25 May 2020,GENUINE REVIEW: Quality of One Plus 7t is bad as compared to its previous models + not upto mark as compared to other competitive models.The battery life is poor and I have to charge my mobile in each 5 hours.Both camera qualities are not good. Cannot understand if it needs hardware or software improvement!The memory management is too bad. Although I have quite free RAM memory & storage but still different apps keep crashing through out the day producing crash logs. Most of the times screen goes black or crash whole OS where you need to reboot the device while playing Amazon video. One day the mobile got complete blackout and I searched for One Plus community blog and based on couple of other user's instructions and long press on power/volume button to restart the mobile. A mobile device shouldn't behave like this if it is new. I used so many Android devices earlier for atleast 2-3 years and this is the worst one with this higher price.,2,GENUINE REVIEW: Not upto mark poor battery life poor camera quality Bad memory management,2.0
Mallajeet Sonowal, 10 October 2019,I replaced 3T with this masterpiece 7T. I had been using 3T for the last two and a half years and was planning to continue using it for another one or two years as 3T is still a beast as on date but unfortunately my 3T was dropped in a swimming pool and so i replaced my 3T with this amazing phone. When you are accustomed to using Oxygen OS nothing can replace the feeling and satisfaction. I have been using this 7T for last 3 days and i just want to give a quick overview of likes (which are many) and dislikes ( a very few)  as below:Likes:1. Display is amazing with 90 hz refresh rate.2. Android 10 out of the box with new features.3. Excellent photos along with Supermacromode in camera.4. Zen mode with new customizable time periods.5. Butter smooth performance. No lagging or heating at all during multitasking or gaming.Dislikes:1. i am very dissappointed with the Nightscape mode. The picture you take in nightscape is unsatisfactory. Even though the camera manages to take the extra light but it lacks the originality and is less subtle especially when you snap a persons photo in very low light its felt like colour mush evrywhere. Infact  to my surprise i found that low light photography is very good without using nightscape. Except this i liked the camera quality very much.2. battery is average may be becoz of the 90 hz refresh rate for e.g on average to heavy usage if i start the day with 100% battery at 7 am  the phone manages to retain 10 to 20% battery by 7 to 8 pm.Anyways  overall i am very happy with the upgrade and glad to be a part of the one plus family again. infact in our family we have OP6 OP6T OP7 and now OP7T 🤗🤗🥰🥰,One,Best in the Price Range,5.0
Manish B., 24 October 2019,The phone is snappy everything is good and there are many review already so i am just informing the negative aspects:1. Software is having some bugs frequent app crash and freeze2. Battery life is pretty average and gives screen on time of around 4.5 to 5 hours on moderate to heavy usage3. Camera quality is average warm or yellowish pictures taken by camera4. Video quality is averageOverall its a good phone but OnePlus needs to improve by software updates,One,Good product,4.0
Kiran, 8 November 2019, Heating issues automatically vocie mode on  hanging issues,7,Worst experience,1.0
Deepdarshan, 28 October 2019,I upgraded from one plus 7 to 7T and it's a good decision overall thoughts on 7T.At the cost what they are selling it's definitely a good deal.The best part of the phone is it's display and the sound to be honest I don't feel any difference between 60 hz and 90 hz and who cares because the display brightness and color production in 7T is  excellent the phone when you take to outdoors the display looks just like indoors because of the excellent brightness levels which is 1000 NITs. You would love watch movies or any content on this superb display.Sound clarity and the volume levels simply the best you don't feel like using headphones or need external source. It's so Crystal clear that you often wonder how's it possible to produce such crisp sound on a smart phone definitely better than one plus 7 though both have stereo speakers this is of a different level.Battery back up is good but I felt one plus 7 was better yes it charges from 0 to 100 in 1 hour and the charging port is tad tight.On Camera yes it has 2 additional lens one telescopic and one ultra wide apart from primary lens yes it does do the work of what it's meant for  but the processing is moderate the noise levels are seen I felt one plus 7 takes better photos compared to 7t I might be wrong here.The look and feel is top notch the Oreo camera actually enhances the looks and I see everywhere people buying blue because that's what the reviewers get from One plus for 256gb you have only blue color but the fact is that Grey or the Fostered Silver is very Good looking than blue and it looks more premium.The face unlocking and finger scanner is fast face unlocking does work even in dark with the screen light falling on the face.One not so feel good factor is with the haptic motor it's week they shouldn't have rather put it but overall it's very good phone,One,The display and the speaker are the 2 stand out feature to go for this.,4.0
Common, 30 June 2020,I am glad that I bought this OnePlus 7T and it is just amazing!! I assure you  it's the best choice for this price range.What I like is it has nearly all the features that OnePlus 7 Pro gives ( and more including outstandingly better macro camera and Snapdragon 855+) and that too at much less price. The camera quality is very nice as you can see. Yes it struggles in low light but still it's much better. However battery is 3800 mAh still it gives a very decent battery backup at 90Hz because of its optimised oxygen os and fluid amoled display.If you are a gamer you are going to have a very amazing experience. The graphics are a feast to the eye. It's so fast  I just love it.The Os is highly customisable and you can design it however you want. The Zen mode provides you a break and lets you enjoy life. Reading Mode is fantastic. The look is very premium.Overall if your budget is under 40k  this is the best choice. Period.,2,The best smartphone for this price range.,5.0
Amazon Customer, 12 October 2019,Absolutely worst Product it is heating up very badly with in few minutes.Amazon promises to have return or replacement but now they are Refusing there own principles.Not recommend will share the actual performance in next few days.as mentioned Pre applied screen protector is missing on my phone which is delivered to me,3,Don't Waste,1.0
Nityanand Bhat, 2 January 2020,Since oneplus 3T I am a regular user of One Plus. I used one plus 5t Oneplus 6 One plus 7 and now one plus 7t. Out of all I did not like 7T. To be frank One Plus 7 was much much better than 7T.1. Fingure print censor doesnt work all time2. Battery drains out before noon ( pls note that I dont play games I dont watch Videos much and I dont play songs).3. Most of the features are repeated from One Plus 7. But rear camera of One plus 7T is much better ( I am not telling one plus 7 camera was bad. It was really good... But this camera is better than one plus 7)4. Speed is best. I have 8GB RAM. Really good.Overall when compared to 7 7T is an average phone.,2,One Plus 7T is an average phone,3.0
Gaurav Shrivastava, 6 October 2019,Writing this review after using it for a day.Camera - No doubt this is best one for camera. i tried taking pictures in every light(day night afternoon) and believe me this stands par from others. Didnt want to carry DSLR for my travels hence landed up at this. I am fully satisfied.Fingerprint sensor - Bit slow but pretty much acceptable. This doesn't mark phone in negative side.Battery - It ran for more than a day for me. I clicked around 50 pics saw 10 videos did setup of numerous app in this phone after one time charge and still it ran for more than a day. So i am happy with that.90/60 htz - I shifted to 60 hts and performance was good enough.Charging - Fastest ever seen.App opening time - Very fast impressive.Memory- I can see 256 total available memory. So its not like other phones which shows 223 available out of 256 GB.Sound - Excellent. Enjoyed playing videos on YT and Savn app.Earphone Jack - Bought a type C converter from local market(PimpriPune) for INR 80 and it did the job well.Body Cover - It looks like a normal cover. Doesn't hold mobile tightly. I would change that to a better one soon. I see some good covers are launching on 20th October for INR 599. They looks superb and rigid.,2,Overall best,5.0
Davis j c, 8 October 2019,Initially my first choice was to go for the rog phone 2 which had similar price pointsBut then I realized that paying money for the things which we are not going to use frequently is madness.Of course in specs the rog phone 2 looks like a heavyweight.But those are for the people who have never used one plus.First of allI got my 7t on the Amazon's Great Indian festival which gave me a discount of 2000 RS which is equal to the rog phone 2(yes u get a discount for 2k but it was out of stock)Secondly both phone's do not support sd cardsince that I made one plus 7t my cup of tea.There is a difference between the 90hz and the 120hz display.But why pay for those if u are not a professional gamer.The camera on the 7t is way more good than the rog phone 2.The design is made for professionals and not gamers.Then comes the softwareOne plus 7t ships with Android 10 out of the box which is great.This is the first phone to get Android 10 even before the pixel 4.Then comes the battery lifeI have been using this phone for the past 5 days and I barely charge this device if I am using it at 60hz (that's smoother than the k20 pro).For 90hz display u will get a screen on time of around 6 if u are a regular user.For charging speeds the 7t gets the wrap 30t which is insanely fast. It took me around 58 mins to charge the phone from 0-100 which is definitely the best in the market.Call quality and signal reception is good even when there is no proper signal reception on my brothers k20 pro.Face unlock is faster and the fingerprint reader is also improved.Oxygen 0s!!!!!! Belive me If u switch to oxygen osthen clearly u will never back off .For a regular user who does gaming very often the performance is top notch the snapdragon 855 plus can handle anything at ease.Overall one plus has offered a complete packageFinallyI have no regrets in buying this phone over the rog phone 2........,2,Overall package,5.0
Saahil sharma, 27 June 2020,Got it delivered on 23/6/20i was confused between op8 and 7t. After thinking so much i concluded that 7t is a best pick right now cos Op8 is a overpriced device cos of 5g and believe me in india till now 4g is not working perfectly than how could you expect 5g to come that soon. I guess 5g is not coming till 2 years atleast than why spend 8k extra now? At the price tag of 34k i got SD855+ 90hz displaywarp chargetriple cameras which are working really nice as expected. So i think currently its the best device in this price tag. I am disappointed only in the matter of ip rating which is also missing in op8. And one more thing op8 has the curved screen which is very expensive to replace if you break it and curved screens are also very very fragile and they are also prone to accidental side touches. So i think 7T is a much better option than op8 and its even 8K cheaper 😅,2,Better than One plus 8 at the price tag of 34K,4.0
Amazon Customer, 24 June 2020,This is the very first time that I had such bad experience wd Amazon..Never expected this from such a brand..I hv received the phone on 22nd June n on dat very day I noticed the phone has booting problem registered it wd Amazon they said a wdout a technician's survey dey can't do anything scheduled it for 25th June now in Assam lockdown is going on various places... Etc etc...,3,Very bad experience wd Amazon,1.0
stenardt, 3 May 2020,Pro :Excellent Screen 1080p 90hzBattery life 7 hr screen on time usage(but fast charging makes up for it).Type-CCharging time 70 percent increase in 25 minutes (after 3 months).Clean UI No Bloatware.Cons:Default Camera Ok(Use Gcam mod)Getting to much ads on youtube more than other phones (but don't know whether this phones fault or not)Camera bump is too big.No head phone jack. No earphones included in boxThe phone is like one plus 7 but better screen(high refresh rate 90hz good for gaming) Larger Battery slightly better camera.,2,Excellent phone for 33500 inr,5.0
Om Singh, 8 October 2019,Camera clearity is very poor speakers are defective they are making weird noise similar to raditiation sound. Overall worthless to spend 40k. They are not even ready to refund.,6,Poor camera and sound quality,1.0
Sahil Vasudev, 17 June 2020,Oneplus is indeed great brand and i am using it for last 4+ years and i am die hard fan of oneplus.I expected oneplus 7T another masterpiece from oneplus but the things are not so great this time.Pros:1. Stylish look with oneplus brand label.2. Smooth touch due to 90hz refresh rate.3. Very high end processor from SD making it high performer even while multitasking and gaming.4. Great combination including RAM and ROM which is necessary and making it smooth going for 2-3 years.5. Fingerprint sensor is really good and quick working very fast and accurate.Cons:1. Finishing is in polycarbon with only side aluminum frame while before lower models from oneplus had metallic finishing.2. Smooth Liquid Touch came at expense of your battery drainage causing battery to drain much faster than expected thus forcing you to keep refresh rate at 60Hz.3. Camera quality is not so good needs more focus for clicking nuce pics otherwise most of times pics goes blur.4. Face Unlock only scans your iris/eyes only while other competitive brands of oneplus scan your full face and other face points.5. No 3.5mm jack making your old wired earphones to rust.,0,Great phone but worth if under 30K,4.0
Harpreet Singh, 15 June 2020,I was soo excited today that I would be getting to lay hands on this beast of a phone. Got the delivery promptly as expected and in good package. Ideally I would have liked such items to be delivered in a box rather than the usual Amazon envelope. Though the envelope was sealed properly probably to avoid any tampering before delivery.I had unboxed it and it had all the items namely scratchless Phone Good transparent phone cover and charging adaptor and sim removal tool along with other documents.So far so good. Then starts the ordeal. The phone failed to boot and got stuck on the Image1 attached here for long time. I felt it has entered some recovery mode when on next press of Power button the next options Image 2 with one reading English appeared. By now I was almost sure there is some issue with the phone but still out of hope and belief that it can't happen with me I clicked on English and page as shown in Image 3 appeared. Then I thought against going ahead and called customer service for replacement.I have shared the details with them and they assured me that by end of the day I should be getting the delivery date of replacement phone and this headset will be picked up at the time of delivery. Ideally I would have liked the same-day delivery as their warehouse is very close to my area but the customer service executive mentioned that since it is more than 20k it would require some approvals.I am now hoping first to get the replacement as soon as possible and that the replacement works well unlike this one. Really disappointed with OnePlus to have delivered a faulty phone but I am hoping that Amazon helps me out as usual with their prompt and normally very good customer service.Hope to give a detailed review when I receive a working phone and I am hopeful it will happen soon. Once again a shout out to Amazon for prompt Customer service. Hopefully I will get the phone by tomorrow and the mood changes from current gloom state to rejoice.,One,Awaiting replacement for Faulty phone received which isn't booting,1.0
Dr Rajesh, 7 July 2020,"""A thing of beauty is a joy forever'""Jack of all trades master of all'""Bold and beautiful""""Pure temptation""This phone is so beautiful elegant and buttery smooth that you will feel addicted to this masterpiece and it will be a cynosure for all eyes. OnePlus has truly shown it's microengineering skills while manufacturing this OnePlus 7t.I did a lot of research for 2 months before buying a new phone. This is true VFM phone.Pros.1. Processor.Snapdragon 855+ is flawless and needs no further description. All high graphic games run ultrasmoothly. Phone automatically shifts to game mode while playing games.2. Display.6.55 inch HDR 10+ fluid amoled 90 Hz display is always vibrant and soothing to view. It has colour enhancement feature for videos and it is amazing.As per me its 6.55 inch size is perfect to hold.Avoid phones of display of 6.7 as they are bulky and difficult to hold. You will never use IPS display again once you will hold this phone.3. Body design/built quality - Ergonomic designed aluminium alloy body with Corning Gorilla glass 5 on both sides. Premium feel in hands. Also it comes with free good quality transparent protector case4. Camera- It is simply amazing. Macroshots are fabulous. (See images)Slow motion video recording is excellent in natural lighting. Inside the rooms you will notice darkness and screen flickering.5 . Speaker- Dolby Atmos certified speakers both at above and below are loud and gives a mesmerizing experience while watching multimedias.6. Touch response/fingerprint scanner/faceunlock-Phone gets unlocked in a fraction of second. Touch is buttery smooth.7. Haptic feedback- So soothing experience just like an iPhone.8. Battery- Battery is good but not excellent. However 30W wrap charger is so fast that it charges my phone from 0 to 50% in 20 minutes. So battery is not a major issue and I can easily get 12 hours of usage time.Also battery optimization is amazing.I was worried about its battery life before buying it as most of the persons have given bad reviews regarding its battery. But believe me wrap charger makes things simpler.9. Internet call quality and Wifi- Excellent10.Oxygen OS- Best ever. I was using a mi phone before and miui OS was just very bad. Believe me oxygen OS is without any annoying ads and is so easy to use.11. Extra featuresGray scale- this feature turns phone display to black and white and it looks amazing as well.Side slider switch- It is an added feature like in iphonesCons- Not seen yetFinal verdict- I am not a technical person. I have never bought a phone of more than 18000 in my life. But honestly saying spending 38000 on a 256 gb device like this is worth. It is an Android iPhone...:-)Blindly go for it. I myself had wasted a lot of months on deciding which phone to buy.",0,Bold beautiful and cynosure for all eyes,5.0
Dr Imkong, 5 October 2019,Received my phone 12hrs ago..... Here's my initial impressions. (Was in a dilemma between this and the ROG2... But since I don't game at all and the styling was a bit too loud for my taste I went ahead with this classic beauty I spite of the battery life and other obvious advantages).PROs1) Awesome built quality... I like the in hand feel of the phone and it's possible (not comfortable though) to use it with one hand if ur hands r big enough.2) Screen is amongst the best I've seen and used (used a super amoled on Samsung previously). There's a screen guard pre installed and I didn't feel the need to remove it as it didn't hinder my fingerprint or input via the touchscreen.3) Software is a total gem.... It's clean and with no bloatware whatsoever.4) I personally like the alert slider... Its quite handy for me.5) Performance is buttery smooth and RAM management has been done well. The apps stay in memory all the time.(I tried with 7 apps open at the same time). Since I don't play games of any sort I didn't test it out.6) Speakers are good...its loud enough and clear at the same time.7) Camera is a mixed bag. It's good enough for social media and with a lil bit of editing u can take some real good pics but don't expect top tier level quality. So maybe photo buffs should consider a different phone with a great camera.8) Charging speed is a beast... Nothing else comes close.CONS1) lack of a headphone jack is a real bummer for me... Especially since my Bluetooth headset (Sony Mdr-xb650BT) doesn't seem to connect no matter what I try.2) The gestures are a hit and miss at the moment maybe it'll improve with time but so far am not enjoying it. And the software buttons while typing messages u accidentally type the home button which leads to the home screen and makes the typing experience really annoying. So sticking with gestures in this one.3) Battery life could be a problem. I was using it in the 90hz mode when I received it and within 1 Hr battery dropped by over 16%...... So 90hz is cool and all but I've reverted back to 60hz refresh rate to see by how much the battery performance improves. Will test it more in the following days and decide based on the result.So those are my very early initial impressions. Maybe I'll update after couple of weeks time for a more detailed review.Enjoy the device👍,2,Awesome product for the money👍,4.0
Hammad, 5 October 2019,First of all... please don't judge on using OP2🤣🤣...it was(is) a very good phone and it made it to almost 4 years with me....I got it a few months after it was launched and it was a beast back then..(it can even compete with a lot present phones....I'm just saying 😁)...now coming back to 7T....I was really amazed after holding the phone in my hand...it is much much much better in real life than in pics and videos... really slim..great build quality... amazing design (personal preference)...buttons are great...good vibration motor..and then we have THE DISPLAY..it's amazing that's all I can say...it's absolutely smoooooth.. because of the 90Hz refresh rate... although it has a yellowish tint to it... viewing angles are okayish...face detection and fingerprint scanner are on point..... charging is super fast... overall functioniong is also really fast and snappy...all in all it's a great phone at this price point....but I am not that happy with Amazon..it took almost a week for this package to reach me...and on top of that it came in a plastic packaging without even bubble wrapping the phone's box... I'll suggest you to record your unboxing just to avoid any problem!,One,My initial impressions after switching from OnePlus 2 to 7T,5.0
Rinju francis, 9 February 2020,Using the phone for last 50 days.1- Battery is below average may last about 8-10 hrs for avg useag.2- Camara looks very good. But picture is very bad. Missing too much in picture.3- Application crashes several times sometimes the inbuilt apps will not open and will show (can't open). Then need to reebot the device.4- I feel that it was better to purchase any other China makers after using it for this much.5- The positive thing is that I got 1+ lable on back side and 3 big camera in a circle.,2,I fall into a cheep phone with a brand emblem,1.0
Sourav Ganguly, 31 May 2020,My first OnePlus and I am loving it.It's been 4 days I have been using the phone and below are my pros and cons.Pros...1) very good display. For display 5/52) Snapdragon 855+ is very fluid and with Android 10 it works very efficiently. So performance 5/5.3) I know many are complaining about battery life not good however as per my observation if you keep the display at 90 hz refresh rate the battery is bound to be draining fast. If you are travelling and won't get any power socket for many hours I would suggest to keep the refresh rate at 60 hz it will really improve battery performance.4) Charging 5/5. With warp charge 30t the charging is absolutely brilliant.5) Camera 5/5. I have read reviews where people are complaining about camera quality being blur however I have not faced any such issues. It's true that it takes a little bit of time to adjust the focus however the camera samples are pretty good. I even use a DSLR so know a little bit about adjusting the focus. My tip use grid lines for better focussing.6) Looks 5/5. Looks are really premium. However I would suggest anyone buying this phone to compulsory have a good rugged case because it is important to protect this from scratches. It's true a rugged case will make the phone look bulgy but I am ok with that.Cons1) No 3.5 mm jack and OnePlus does not provides an adapter as well in the box. According to me it's an essential item as with the low availability of type c headphones I think a 3.5 mm adapter in the box would have been very helpful.2) video output on phone looks brilliant however when taken to laptop it looks way too much over saturated. My suggestion to OnePlus is to fix this issue with an update because the video performance comes nowhere to the still pictures performance. If the issue is not fixed than it would really dwarf the phones still pics capability and would lead to a bad review.My suggestion if anyone looking to buy OnePlus go for the 7t  without any doubt if you like the looks because looks are subjective to one's personal liking. As for me I love the looks.,0,Brilliant phone I love the product..,5.0
Ashish Verma, 26 November 2019,There is nothing positive to write about the phone except the camera. Battery drains so quickly. I was using Nokia 8.1 before its battery lasted sometime for 2 days Nothing changed and with 1+7t battery drains within half a day. Couple of updates have already happened but no change. Response is average. Overall bad decision but after spending so much money have to use it for a while as no resale value..,3,Except camera nothing else upto mark,3.0
RAHUL MORJE, 4 January 2020,My ratings for One plus T phone1) Poor selfie camera2) sound quality is poor.3) Battery Should be more powerful4) Speaker sound is irritatingSuggestion:-1) Camera should be of high resolution with Sony CMOS and Carl zeiss lense.2) Onboard digital to analog processor required 32 bit Hi res sound support is must.  Use ESS sabre Digital analog processor.3) 4500 mah battery required.4) Use Bang & Olufson speakers and onboard amplifier. Or Use Fiio technology.. Sound should be smooth and laidback. ( Zero Ear Fatigue),One,Massive improvement required.,4.0
Girish Kamble, 6 October 2019,I received only the ohone and clear plastic case. Package didn't contain earphones and not did it contain 3 back covers as being shown in many unboxing YouTube videos. So I am not sure why online purchases have not been able to get their ear plugs and 3 back cover cases. Or was it a tampered Package from the seller- would be good if someone can confirm this to me. Bought during 29.9 to 4.10 salePhone works like a fast machine. Camera could have been bit better for nightmode.,2,Great phone but no earplugs or 3 back covers received in package,4.0
Soumya, 5 June 2020,Despite of OP 8 series at 35k OP 7T is still the phone to buy if you have the budget.Pros:1.Display topped with 90Hz refresh rate makes the phone gorgeous & buttery smooth.2.Oxygen Os is simply the best possible android skin out there & is also customizable.3.Camera: I don't know about critics. But this triple lens camera is something. Super Macro mode & Nightscape mode is on another level. Thanks to the 2X telephoto lens. The contrast level is slightly high but I like them nevertheless.4.30T warp charge. The relatively low capacity 3800mah battery can charge up insanely fast. Use a 30 min charge anytime during your schedule & u get a 61% boost up.5.Host of other features like haptic feedback slider button etc.Cons:1.Durability : be cautious & buy a good protective back cover.2.Battery : Although it gives a 7 hour screen on time which is relatively good & can last a day for gamers & binge watchers carry a powerbank as backup. This is not a con.Verdict: Hands down this is the best oneplus phone till date.If you need a phone that can lasts longer perform daily jobs smoothly takes good pictures this phone is good enuf.Thank you.,0,Still the phone to buy in 2020!,5.0
sonu, 10 November 2019,I am a hard-core android fellow except my iPad I never entered the apple ecosystemI used almost 11 different android phones over past 10 years right from cheapest Xiaomi to costly Galaxy S series.OnePlus always fascinated me since it's launch however I always gave preference to brand value and user reviews so I neglected it for quiet few time but with the advent of 90 Hz refresh rate on phone amoled I seriously couldn't resist myself to buy the phone on the very first week of it's launch..This is my review after using it for 1 monthProsScreen size and crispy displayWarp 30T charge (I think that's the best part)Super snappy every thing is so smooth and fast as described in the captionBuilt quality/design pretty practical and upto the mark for a flagshipConsBattery life  even with moderate usage u have to plug it in 1 day or the very next day early morningAutoadaptive display is a painit never adjust itself as per the ambient lightBig size not suited for small hands definitely not for ladiesCamera are just like elephant tooth- good for nothingmy last phone was with single camera(S7 edge) and it can beat these 3 cameras in any light conditionsGestures also function poorlySo to conclude I am not really happy with the phone and it can't be compared with flagship OnePlus has their own niche of cheap flagships but in my opinion now they are directed towards money making rather than listening to the consumersI would suggest people to buy Xiaomi flagship insteadSry for this never ending review,One,U can't call it a flagship 🤭,3.0
Amazon Customer, 5 November 2019,Caution: check with microscopic view for any discoloring or dent. Mine I missed and on starting to use screen started flickering and gone completely within a day. Unfortunately I had time to setup and send couple of sms only not even a call:)Worst quality of phone.On raising complaint with Amazon the technician mentioned he can’t recommend for return as there is dent at an odd angle and Explained nothing can be done from his end because of it. I am sure I did not drop the phone so a deadlock. Now my only option is to take to service center within 2 days of purchase.I would not recommend this phone to anyone also would never purchase one from this brand in the future.,2,Worst quality don’t buy,1.0
Krishna, 9 January 2020,This is the fastest phone I've ever laid my hands on. I never thought speed would make such a difference. Mid range phones are very good these days making flagship phones less attractive. But this phone is just so fast it makes all that extra money you put in worthwhile. This phone will be good for 3 years easily just because of the specs and power. You can directly upgrade from this phone to a good foldable in 3 years. Stock camera disappoints sometimes in certain scenarios but gcam comes to the rescue. You cannot blindly open the stock cam in an urgent situation. Keep both and use whichever you think will suit the situation. That's the only minor problem with this phone. Also the fingerprint reader isn't perfect. I suggest registering each of your fingers twice to improve results. Otherwise everything is perfect. Screen battery life performance speakers charging speed UI in hand feel and touch response. It's all 5 out of 5! The price is the cherry on the cake. I don't know why people are still buying Note 10s and Pixels. This phone has everything at half the price. I have a pixel too and honestly I liked the software of the Oneplus better! It's that clean. 128 gb is more than enough for most people.For 33K this phone is a steal. If this is your first time with OnePlus and doubting the brand. Just don't. The phone comes with 2 year warranty and free pick up and drop for any service issues. That's the kind of focus the brand is putting in here. So don't worry about the reliability.,0,Great phone for a great price.,5.0
@n1l, 4 June 2020,mind blowing phone in OnePlus series at an average price...Pros...1.  different rear look particularly with camera section...2.  good metallic built...3.  easy in handling...4.  above average battery backup...5.  beast in sound coupled with good bass treble bla bla (u will be rock on)...6.  excellent clear piks due to triple lens phenomena...7.  spontaneous with face unlock...8.  gets completed charge in @ 55 minutes and no heating issues...9.  processor is also too good and push the multitasking to be lightening fast...Con...1.  battery cud have been better from 3800mah to 4500mah...still does not embarrass to that much extent...still average use makes it to go atleast 24 Hr...so did I give only 4...,One,A Beast and King in all OnePlus phones...,5.0
ASWIN BHASKAR P E, 25 November 2019,Camera:3.5/5 above averageBattery: max 1day full use but charges to full within 45 minDisplay: smooth but wont see a noticeable difference in 90 HzPerformance:4.5/5 great OS awesome best one ever from all other dat i usedAndroid 10 has some exciting featuresBuild : except tripple camera circle rest all goodOP provides its own accessories that too are great and premium  better reliable that other generic accessories so expensive but affordableOverall 3.5/5 considering all aspects price battery displar performance etcI went for it because of the brand name'somewat' premium build and mainly for the awesome oxygen os,2,Go for it,5.0
N.S.A, 30 October 2019,Disappointed with the product...Basic apps hang a lot.. Like calling app blacks out...What's app still hangs even after 8 months of continuous software updates... If i send more than 2 pictures in WhatsApp the whole screen blacks out. Reboot is the only temporary fix.. Meanwhile my OnePlus 2 which I have given to my mom still works like charm... Totally disappointed with OnePlus 7T,2,Disappointed with 7T,1.0
Harsh Joshi, 3 October 2019,Loving the new OP 7t.Using it since 4 days now.. here are my 2 cents:Looks and feels amazing to hold grips fine.Proccessing is fantastic truly one of the best. Multitasking on a smart phone never been better.Display is impecible 90 hz gives a whole new smooth browsing experience night mode really helps the eyes for long usage.Camera is one of its best feature for sure I mean such great image quality and macro mode is a winner. Loved it!Battery is on the lower side but hey wrap charger is so fast that u don't mind that much. 20 mins of charge and  you are good to go. Feels magical how fast it charges.OnePlus could have given basic accessories in the box like headphone convertor. Have to buy them separately.Amazon delivery got late by a day but it's okay. Felt like a tease 😏Overall the best you can get with their price.. go for it! #Oneplus7t,2,It's a very 'smart' smart phone,5.0
Ali farhan, 17 October 2019,Paid full amount in one go Worst speakers ever  hardly getting the voice of the person on the other side  very low quality speakers... hanging all the time cant use basic apps like whatsapp and instagram way too expensive phone price is not justifying the quality.. huge disappointment..Bad experience..Replacement requested but no response.. blooddy cheaters,4,Bad experience huge disappointment..,1.0
Ashish R, 3 January 2020,I love the device. Its performance speakers and camera quality are much better compared to oneplus 5. The fingerprint reader has serious issues. It does not recognize the finger at once despite registering multiple times. There are apps which require F/p sign in and they work well. This indicates maybe the f/p scanner is fine but Oxigen OS has some bug. I downloaded Amazon diagnosis software and it detected the phone to be working well. But am still not satisfied with the F/p scanner. It works only in 20% of the scans.,One,Fingerprint Reader on Screen is Faulty,4.0
AM, 16 March 2020,Quality of voice during phone calls. Whether normal whether speaker or headphones. It is so bad that I don't recall a single call ever with this phone of even half decent quality.Either One Plus 7 T just sucks or I have been sold a fake or one that did not pass quality control so got sold to poor 3rd world souls like me because there is no control or recourse for junk and crap made with jugaad sold in desh.My Motorola X Play was much much better - served me very well with less than half the price for many years. Never had voice quality issues.I regret buying this. Even with battery problem my old Motorola X-play was much better.,2,Can someone from One Plus call me. I cannot make a single decent call,1.0
anil parmar, 26 May 2020,First time i bought one plus  after delivery i  box and started intialize the phone. During initialize i faced the following problems1. not successfully initialize  it was stuck on updating part. I tried 3 to 4 hours but not sucessed.2. Bettery drain so fast and phone continuously heating.I called amazon care  got no response and  took helpvia chat  but did not get positive response. Finally i took help from one plus care via chat one plus guided me that first you have to factory reset the phone and then start initialize phone again. I did this and finally phone started to breath.I don't know why factory reset is needed in new phone.so guys this is my experience about phone.,One,Not Good Experience,3.0
manish shah, 11 October 2019,Pros : 1. Premium design - all glass and metal build which looks awesome and feels very premium in hand.2. Oxyzen OS - it was the prime reason why I switched from poco F1 to OnePlus and it certainly didn't disappoint. Absolute joy to use this device due to clean and almost stock andriod experience with nice customisations.3. Speakers - The dual stereo speakers are of top notch quality and you will never use in maximum output and still it's more louder than other flagsip devices.4. 90 hertz refresh rate - Another deal maker is this utterly smooth 90 hertz refresh rate which is the best thing in OnePlus devises. Use it to believe it.5. Camera - Better than expected rear facing camera which produces crisp and detailed pictures in both daylight and lowlight conditions. Selfie camera are also good.6. Screen and sensors - The fluid amoled screen is just a treat for the eyes. All the sensors are working blazingly fast like fingerprint sensor and face unlock but missing the ir blaster.Cons: 1. Battery life - Battery life is not that great will last for a day in moderate use. But the warp charger will fill the juices blazingly fast so not a deal breaker.2. Camera bump- although the design is solid and cool but there is a slight tilt when u keep the phone in flat surfaces due to the camera bump.Overall an amazing and allrounder phone from OnePlus. Just close your eyes and buy if u want a premium device in mid range price.P.S. Purchased thru Amazon prime and got SBI disc of 2000.,One,Best one plus device till now.,5.0
